ID,Authors
1,"Mee M.T., Wang H.H."
2,"Hoffman-Sommer M., Supady A., Klipp E."
3,"Varshney L.R., Mitter S.K., Goyal V.K."
4,"Peccoud J., Isalan M."
5,"Wu K., Rao C.V."
6,"Lin B., Levchenko A."
7,"Kittleson J.T., Wu G.C., Anderson J.C."
8,"Auslander D., Fussenegger M."
9,"Ma S., Tang N., Tian J."
10,"Cheng A.A., Lu T.K."
11,"Zurbriggen M.D., Moor A., Weber W."
12,"Pasotti L., Politi N., Zucca S., Cusella de Angelis M.G., Magni P."
13,"Kitney R., Freemont P."
14,"Rodrigo G., Carrera J., Landrain T.E., Jaramillo A."
15,"Cardinale S., Arkin A.P."
16,Benenson Y.
17,"Shiue E., Prather K.L.J."
18,"Bonnet J., Subsoontorn P., Endy D."
19,Schyfter P.
20,"Pottage A., Marris C."
21,"Hall G.M., Howe J."
22,"Carter K.K., Valdes J.J., Bentley W.E."
23,"Singh P., Batth T.S., Juminaga D., Dahl R.H., Keasling J.D., Adams P.D., Petzold C.J."
24,"Karig D.K., Iyer S., Simpson M.L., Doktycz M.J."
25,"Zucca S., Pasotti L., Mazzini G., Cusella De Angelis M.G., Magni P."
26,"Bubela T., Hagen G., Einsiedel E."
27,"Medema M.H., Van Raaphorst R., Takano E., Breitling R."
28,"Chen Y.Y., Galloway K.E., Smolke C.D."
29,"Rollie S., Mangold M., Sundmacher K."
30,. Sci. USA
31,"Lux M.W., Bramlett B.W., Ball D.A., Peccoud J."
32,Giavitto J.-L.
33,"Choi W.S., Kim M., Park S., Lee S.K., Kim T."
34,"Dong H., Tao W., Zhang Y., Li Y."
35,"Leisner M., Bleris L., Lohmueller J., Xie Z., Benenson Y."
36,Schyfter P.
37,"Muller K.M., Arndt K.M."
38,"Weber W., Fussenegger M."
39,"Pal R., Bhattacharya S., Caglar M.U."
40,Marchisio M.A.
41,"Speer M.A., Richard T.L."
42,"Chen B.-S., Hsu C.-Y., Liou J.-J."
43,"Vick J.E., Johnson E.T., Choudhary S., Bloch S.E., Lopez-Gallego F., Srivastava P., Tikh I.B., Wawrzyn G.T., Schmidt-Dannert C."
44,"Yordanov B., Belta C."
45,"Gendrault Y., Madec M., Lallement C., Pecheux F., Haiech J."
46,"Wang B., Kitney R.I., Joly N., Buck M."
47,"Rodrigo G., Carrera J., Jaramillo A."
48,"Chen Y.Y., Smolke C.D."
49,"Wu C.-H., Lee H., Chen B.-S."
50,"Wu C.-H., Zhang W., Chen B.-S."
51,"Cambray G., Mutalik V.K., Arkin A.P."
52,"Agnew D.E., Pfleger B.F."
53,"Lee T.S., Krupa R.A., Zhang F., Hajimorad M., Holtz W.J., Prasad N., Lee S.K., Keasling J.D."
54,"Barnes C.P., Silk D., Sheng X., Stumpf M.P.H."
55,"Solomon K.V., Prather K.L.J."
56,"Saeidi N., Wong C.K., Lo T.-M., Nguyen H.X., Ling H., Leong S.S.J., Poh C.L., Chang M.W."
57,"Constante M., Grunberg R., Isalan M."
58,"Beal J., Lu T., Weiss R."
59,"Silva-Rocha R., De Lorenzo V."
60,"Scott M., Hwa T."
61,"Carrera J., Rodrigo G., Singh V., Kirov B., Jaramillo A."
62,"Gendrault Y., Madec M., Lallement C., Pecheux F., Haiech J."
63,"Song H., Payne S., Tan C., You L."
64,"Pasotti L., Quattrocelli M., Galli D., De Angelis M.G.C., Magni P."
65,"Pasotti L., Zucca S., Lupotto M., Cusella De Angelis M.G., Magni P."
66,"Amidi M., de Raad M., Crommelin D.J.A., Hennink W.E., Mastrobattista E."
67,"Notka F., Liss M., Wagner R."
68,Kaznessis Y.N.
69,"Shetty R., Lizarazo M., Rettberg R., Knight T.F."
70,"Chow B.Y., Chuong A.S., Klapoetke N.C., Boyden E.S."
71,"Bilitchenko L., Liu A., Cheung S., Weeding E., Xia B., Leguia M., Anderson J.C., Densmore D."
72,"Hajimorad M., Gray P.R., Keasling J.D."
73,"Dari A., Kia B., Wang X., Bulsara A.R., Ditto W."
74,O'Malley M.A.
75,"Schmidt M., Pei L."
76,"Galdzicki M., Rodriguez C., Chandran D., Sauro H.M., Gennari J.H."
77,"Kim K.H., Sauro H.M."
78,"Bagh S., Mandal M., Ang J., McMillen D.R."
79,"Weber E., Engler C., Gruetzner R., Werner S., Marillonnet S."
80,"Marchisio M.A., Rudolf F."
81,"Chen B.-S., Chang C.-H., Wang Y.-C., Wu C.-H., Lee H.-C."
82,"Lee S.H., Heinz A.J., Choi S.-E., Park W., Kwon S."
83,"Kim J., Winfree E."
84,"Davis J.H., Rubin A.J., Sauer R.T."
85,"MacDonald J.T., Barnes C., Kitney R.I., Freemont P.S., Stan G.-B.V."
86,Benenson Y.
87,"Norville J.E., Derda R., Gupta S., Drinkwater K.A., Belcher A.M., Leschziner A.E., Knight Jr T.F."
88,"Wu Z., Gao Q., Gilbert D."
89,"Lesiak J.M., Stachowiak R., Bielecki J."
