ID,Authors
1,"Dai Z., Liu Y., Huang L., Zhang X."
2,"Blazeck J., Garg R., Reed B., Alper H.S."
3,"Attia M., Kim S.-U., Ro D.-K."
4,"Moldrup M.E., Salomonsen B., Halkier B.A."
5,"Saslis-Lagoudakis C.H., Savolainen V., Williamson E.M., Forest F., Wagstaff S.J., Baral S.R., Watson M.F., Pendry C.A., Hawkins J.A."
6,"Moebius N., Ross C., Scherlach K., Rohm B., Roth M., Hertweck C."
7,"Pyle B.W., Tran H.T., Pickel B., Haslam T.M., Gao Z., MacNevin G., Vederas J.C., Kim S.-U., Ro D.-K."
8,"Wu S., Jiang Z., Kempinski C., Nybo S.E., Husodo S., Williams R., Chappell J."
9,"Zhu C., Cook S.P."
10,"Peralta-Yahya P.P., Zhang F., Del Cardayre S.B., Keasling J.D."
11,"Wu T., Wang Y., Guo D."
12,"Bugaj L.J., Schaffer D.V."
13,"Hong K.-K., Nielsen J."
14,Yadav V.
15,"Chen Y., Partow S., Scalcinati G., Siewers V., Nielsen J."
16,"Zhang L., Lu X., Shen Q., Chen Y., Wang T., Zhang F., Wu S., Jiang W., Liu P., Zhang L., Wang Y., Tang K."
17,"Wang P., Gao X., Tang Y."
18,"Ma S., Tang N., Tian J."
19,"Sun J., Shao Z., Zhao H., Nair N., Wen F., Xu J.-H., Zhao H."
20,"Cheng A.A., Lu T.K."
21,"Galata M., Mahmoud S."
22,"Shao Z., Luo Y., Zhao H."
23,Azerada R.
24,"Pasotti L., Politi N., Zucca S., Cusella de Angelis M.G., Magni P."
25,"Wittmann A., Suess B."
26,"Nguyen Q.-T., Merlo M.E., Medema M.H., Jankevics A., Breitling R., Takano E."
27,"Menolascina F., Siciliano V., Di Bernardo D."
28,"Giessen T.W., Marahiel M.A."
29,"Blount B.A., Weenink T., Ellis T."
30,"Wu Q., Sun C., Chen S."
31,"Anderson J., Strelkowa N., Stan G.-B., Douglas T., Savulescu J., Barahona M., Papachristodoulou A."
32,"Michener J.K., Smolke C.D."
33,"Hagel J.M., Krizevski R., Marsolais F., Lewinsohn E., Facchini P.J."
34,"Curran K.A., Alper H.S."
35,"Milo R., Last R.L."
36,"De Luca V., Salim V., Atsumi S.M., Yu F."
37,Booker-Milburn K.
38,"Wittmann A., Suss B."
39,"Slusarczyk A.L., Lin A., Weiss R."
40,"Felnagle E.A., Chaubey A., Noey E.L., Houk K.N., Liao J.C."
41,"Xie X., Kirby J., Keasling J.D."
42,"Afendi F.M., Katsuragi T., Kato A., Nishihara N., Nakamura K., Nakamura Y., Tanaka K., Morita A.H., Altaf-Ul-Amin, Takahashi H., Kanaya S."
43,"De Kok S., Kozak B.U., Pronk J.T., Van Maris A.J.A."
44,Mizutani M.
45,"Yordanov B., Appleton E., Ganguly R., Gol E.A., Carr S.B., Bhatia S., Haddock T., Belta C., Densmore D."
46,"Phelan R.M., Dipardo B.J., Townsend C.A."
47,Liu H.-Y.
48,"Lu J., Sun H.-L., He H., Fu P.-C."
49,"Shi Y.-W., Zhi X.-H., Zheng H.-N., Yang Y., Wang W., An J.-M., Kong J.-Q."
50,"Bornscheuer U.T., Huisman G.W., Kazlauskas R.J., Lutz S., Moore J.C., Robins K."
51,"Shen J., Zheng H., Zhi X., Shi Y., Huang Y., Wang W., Chen Y., Kong J., Zhu P."
52,"Xiang L., Yan Z., Wang G., Liu W., Tang K., Liao Z."
53,"Hall G.M., Howe J."
54,John J.E.
55,"Choi Y.E., Lim S., Kim H.-J., Han J.Y., Lee M.-H., Yang Y., Kim J.-A., Kim Y.-S."
56,"Foo J.L., Ching C.B., Chang M.W., Leong S.S.J."
57,"Jiang M., Stephanopoulos G., Pfeifer B.A."
58,"Michener J.K., Thodey K., Liang J.C., Smolke C.D."
59,Keasling J.D.
60,"Boyle P.M., Silver P.A."
61,"Carter K.K., Valdes J.J., Bentley W.E."
62,Fasan R.
63,"Cristino M.D.G.G., De Meneses C.C.F., Soeiro M.M., Ferreira J.E.V., De Figueiredo A.F., Barbosa J.P., De Almeida R.C.O., Pinheiro J.C., Pinheiro A.D.L.R."
64,Pelzer S.
65,"Sauer M., Mattanovich D."
66,"Ide M., Ichinose H., Wariishi H."
67,"Lim E.-K., Bowles D."
68,"Jiang M., Stephanopoulos G., Pfeifer B.A."
69,"Zucca S., Pasotti L., Mazzini G., Cusella De Angelis M.G., Magni P."
70,Sandler R.
71,Collins J.
72,Jefford C.W.
73,"Zeng Q.-P., Zeng L.-X., Lu W.-J., Feng L.-L., Yang R.-Y., Qiu F."
74,"Facchini P.J., Bohlmann J., Covello P.S., De Luca V., Mahadevan R., Page J.E., Ro D.-K., Sensen C.W., Storms R., Martin V.J.J."
75,"Medema M.H., Van Raaphorst R., Takano E., Breitling R."
76,"Mikkelsen M.D., Buron L.D., Salomonsen B., Olsen C.E., Hansen B.G., Mortensen U.H., Halkier B.A."
77,"Boghigian B.A., Armando J., Salas D., Pfeifer B.A."
