ID,Authors
1,"Wawrzyn G.T., Bloch S.E., Schmidt-Dannert C."
2,"Yamada Y., Cane D.E., Ikeda H."
3,"Wu S., Jiang Z., Kempinski C., Nybo S.E., Husodo S., Williams R., Chappell J."
4,"Darabi M., Masoudi-Nejad A., Nemat-Zadeh G."
5,"Zhu C., Cook S.P."
6,"Peralta-Yahya P.P., Zhang F., Del Cardayre S.B., Keasling J.D."
7,"Kittleson J.T., Wu G.C., Anderson J.C."
8,"Ye V.M., Bhatia S.K."
9,"Hong K.-K., Nielsen J."
10,"Wittmann A., Suess B."
11,"Amitai G., Sorek R."
12,"Kanagarajan S., Muthusamy S., Gliszczynska A., Lundgren A., Brodelius P.E."
13,"McKee A.E., Rutherford B.J., Chivian D.C., Baidoo E.K., Juminaga D., Kuo D., Benke P.I., Dietrich J.A., Ma S.M., Arkin A.P., Petzold C.J., Adams P.D., Keasling J.D., Chhabra S.R."
14,"Chooi Y.-H., Wang P., Fang J., Li Y., Wu K., Wang P., Tang Y."
15,"Wittmann A., Suss B."
16,"Xie X., Kirby J., Keasling J.D."
17,"Jain A., Bhatia P., Chugh A."
18,Liu H.-Y.
19,"Lu J., Sun H.-L., He H., Fu P.-C."
20,"Sun Y., Zeng F., Zhang W., Qiao J."
21,"Shi Y.-W., Zhi X.-H., Zheng H.-N., Yang Y., Wang W., An J.-M., Kong J.-Q."
22,"Shen J., Zheng H., Zhi X., Shi Y., Huang Y., Wang W., Chen Y., Kong J., Zhu P."
23,Keasling J.D.
24,"Lynch S.A., Gill R.T."
25,"Boyle P.M., Silver P.A."
26,"Yadav V.G., De Mey M., Giaw Lim C., Kumaran Ajikumar P., Stephanopoulos G."
27,"Foo J.L., Ching C.B., Chang M.W., Leong S.S.J."
28,"Jiang M., Stephanopoulos G., Pfeifer B.A."
29,"Merryman C., Gibson D.G."
30,"Yang J., Xian M., Su S., Zhao G., Nie Q., Jiang X., Zheng Y., Liu W."
31,"Dixon N., Robinson C.J., Geerlings T., Duncan J.N., Drummond S.P., Micklefield J."
32,"Karig D.K., Iyer S., Simpson M.L., Doktycz M.J."
33,"Singh P., Batth T.S., Juminaga D., Dahl R.H., Keasling J.D., Adams P.D., Petzold C.J."
34,"Gredell J.A., Frei C.S., Cirino P.C."
35,"Jiang M., Stephanopoulos G., Pfeifer B.A."
36,"Medema M.H., Van Raaphorst R., Takano E., Breitling R."
37,"Ji J.C., Li X.Y., Luo Z., Zhang N."
38,"Zeng Q.-P., Zeng L.-X., Lu W.-J., Feng L.-L., Yang R.-Y., Qiu F."
39,"Work V.H., Beliaev A.S., Konopka A.E., Posewitz M.C."
40,"Wang Q., Hillwig M.L., Wu Y., Peters R.J."
41,"Ma J., Zhang X., Ung C.Y., Chen Y.Z., Li B."
42,"Baik J.Y., Gasimli L., Yang B., Datta P., Zhang F., Glass C.A., Esko J.D., Linhardt R.J., Sharfstein S.T."
43,"Siddiqui M.S., Thodey K., Trenchard I., Smolke C.D."
44,"Wang Q., Hillwig M.L., Okada K., Yamazaki K., Wu Y., Swaminathan S., Yamane H., Peters R.J."
45,"Rollie S., Mangold M., Sundmacher K."
46,. Sci. USA
47,"Song A.A.L., Abdullah J.O., Abdullah M.P., Shafee N., Rahim R.A."
48,"Boghigian B.A., Salas D., Ajikumar P.K., Stephanopoulos G., Pfeifer B.A."
49,"Conrado R.J., Wu G.C., Boock J.T., Xu H., Chen S.Y., Lebar T., Turnek J., Tomsic N., Avbelj M., Gaber R., Koprivnjak T., Mori J., Glavnik V., Vovk I., Beninca M., Hodnik V., Anderluh G., Dueber J.E., Jerala R., Delisa M.P."
50,Melis A.
51,"Jiang X., Yang J., Zhang H., Zou H., Wang C., Xian M."
52,"Yong H., Qiang K.J., Hao S.J., Dong Z.X., Wei W., Juan Y.K., Ping Z."
53,"Wargacki A.J., Leonard E., Win M.N., Regitsky D.D., Santos C.N.S., Kim P.B., Cooper S.R., Raisner R.M., Herman A., Sivitz A.B., Lakshmanaswamy A., Kashiyama Y., Baker D., Yoshikuni Y."
54,"Westfall P.J., Pitera D.J., Lenihan J.R., Eng D., Woolard F.X., Regentin R., Horning T., Tsuruta H., Melis D.J., Owens A., Fickes S., Diola D., Benjamin K.R., Keasling J.D., Leavell M.D., McPhee D.J., Renninger N.S., Newman J.D., Paddon C.J."
