ID,Authors
1,"Ullner E., Ares S., Morelli L.G., Oates A.C., JUlicher F., Nicola E., Heussen R., Whitmore D., Blyuss K., Fryett M., Zakharova A., Koseska A., Nene N.R., Zaikin A."
2,"Chang Y.-C., Lin C.-L., Jennawasin T."
3,"Zhou L., Niu D.-D., Tian K.-M., Chen X.-Z., Prior B.A., Shen W., Shi G.-Y., Singh S., Wang Z.-X."
4,"Wittmann A., Suess B."
5,"Ling H., Zhu Z., Chen C."
6,"Chen B.-S., Wu C.-C."
7,"Silva-Rocha R., de Lorenzo V."
8,"Zhang Y., Li P., Huang G."
9,"Marathe R., Bierbaum V., Gomez D., Klumpp S."
10,"Bashan A., Bartsch R.P., Kantelhardt J.W., Havlin S., Ivanov P.C."
11,"O'Brien E.L., Van Itallie E., Bennett M.R."
12,"Ji J.C., Li X.Y., Luo Z., Zhang N."
13,"O'Malley M.A., Soyer O.S."
14,"Chen Y.Y., Galloway K.E., Smolke C.D."
15,"Rollie S., Mangold M., Sundmacher K."
16,. Sci. USA
17,"Kadam S., Vanka K."
18,"Prindle A., Samayoa P., Razinkov I., Danino T., Tsimring L.S., Hasty J."
19,"Ferry M.S., Hasty J., Cookson N.A."
20,"Chang Y.-C., Lin C.-L."
21,"Chen B.-S., Lin Y.-P."
22,"Huang C.-L., Shu W.-Y., Tsai M.-L., Chiang C.-S., Chang C.-W., Chang C.-T., Hsu I.C."
23,"Dari A., Kia B., Bulsara A.R., Ditto W.L."
24,"Matsumoto Y., Ito Y., Tsuru S., Ying B.-W., Yomo T."
25,"Chen B.-S., Hsu C.-Y., Liou J.-J."
26,"Mather W.H., Hasty J., Tsimring L.S., Williams R.J."
27,"Masaki K., Maeda K., Kurata H."
28,"Rodrigo G., Carrera J., Jaramillo A."
29,"Volzing K., Biliouris K., Kaznessis Y.N."
30,"Chen P.C.Y., Weng Y."
31,"Mondragon-Palomino O., Danino T., Selimkhanov J., Tsimring L., Hasty J."
32,"Kirkilionis M., Janus U., Sbano L."
33,"Silva-Rocha R., Tamames J., dos Santos V.M., de Lorenzo V."
34,"Pan W., Wang Z., Hu J."
35,"Kirkilionis M., Janus U., Sbano L."
36,"Wittmann A., Suess B."
37,"Myronovskyi M., Welle E., Fedorenko V., Luzhetskyy A."
38,Levnajic Z.
39,"Nacher J.C., Ochiai T."
40,"Koutinas M., Kiparissides A., Silva-Rocha R., Lam M.-C., Martins dos Santos V.A.P., de Lorenzo V., Pistikopoulos E.N., Mantalaris A."
41,"Von Maltzahn G., Park J.-H., Lin K.Y., Singh N., Schwoppe C., Mesters R., Berdel W.E., Ruoslahti E., Sailor M.J., Bhatia S.N."
42,"de Murieta I.S., Miro-Bueno J.M., Rodriguez-Paton A."
43,"Anand R., Rai N., Thattai M."
44,"An W., Chin J.W."
45,"Farinaccio A., Vanneschi L., Provero P., Mauri G., Giacobini M."
46,"Dari A., Kia B., Wang X., Bulsara A.R., Ditto W."
47,O'Malley M.A.
