ID,Authors
1,[No author name available]
2,"Tan C., Lo S.-J., Leduc P.R., Cheng C.-M."
3,"Hsu F.-H., Serpedin E., Chen Y., Dougherty E.R."
4,"Deans T.L., Singh A., Gibson M., Elisseeff J.H."
5,"Rodrigo G., Landrain T.E., Jaramillo A."
6,"Moskon M., Mraz M."
7,"Goldbeter A., Gerard C., Gonze D., Leloup J.-C., Dupont G."
8,"Komiya K., Noman N., Iba H."
9,"Folcher M., Fussenegger M."
10,Chuang J.S.
11,"Cheng A.A., Lu T.K."
12,"Jayanthi S., Del Vecchio D."
13,"Kitney R., Freemont P."
14,"Miller M., Hafner M., Sontag E., Davidsohn N., Subramanian S., Purnick P.E.M., Lauffenburger D., Weiss R."
15,"Meermeier N., Krishnan N."
16,"Cardinale S., Arkin A.P."
17,Benenson Y.
18,"Hoteit I., Kharma N., Varin L."
19,"Macia J., Posas F., Sole R.V."
20,"Slusarczyk A.L., Lin A., Weiss R."
21,"Mavroudis P.D., Scheff J.D., Calvano S.E., Lowry S.F., Androulakis I.P."
22,"Gaudreault M., Drolet F., Vinals J."
23,"Fetita C., Kirov B., Jaramillo A., Lefevre C."
24,"Oldham P., Hall S., Burton G."
25,"Slusarczyk A.L., Weiss R."
26,"Naqib F., Quail T., Musa L., Vulpe H., Nadeau J., Lei J., Glass L."
27,"Potapov I., Zhurov B., Volkov E."
28,"Karig D.K., Iyer S., Simpson M.L., Doktycz M.J."
29,"Dragosits M., Nicklas D., Tagkopoulos I."
30,"Feng H., Han B., Wang J."
31,"Gamermann D., Montagud A., Aparicio P., Navarro E., Triana J., Villatoro F.R., UrchueguIa J.F., De COrdoba P.F."
32,"O'Brien E.L., Van Itallie E., Bennett M.R."
33,"Ji J.C., Li X.Y., Luo Z., Zhang N."
34,"Gendron J.M., Pruneda-Paz J.L., Doherty C.J., Gross A.M., Kang S.E., Kay S.A."
35,"Chen Y.Y., Galloway K.E., Smolke C.D."
36,"Rollie S., Mangold M., Sundmacher K."
37,. Sci. USA
38,"Lux M.W., Bramlett B.W., Ball D.A., Peccoud J."
39,"Vizcaino-Caston I., Wyre C., Overton T.W."
40,"Zhu L., Zhu Y., Zhang Y., Li Y."
41,"Van Helden J., Toussaint A., Thieffry D."
42,"Prindle A., Samayoa P., Razinkov I., Danino T., Tsimring L.S., Hasty J."
43,Rondelez Y.
44,"Payne S., Smith R.P., You L."
45,"Ferry M.S., Hasty J., Cookson N.A."
46,"Hsia J., Holtz W.J., Huang D.C., Arcak M., Maharbiz M.M."
47,"Weber W., Fussenegger M."
48,"Chevalier M.W., El-Samad H."
49,"Kulkarni V.V., Riedel M., Stan G.-B."
50,"Jacobsen E.W., Nenchev V."
51,"Fernandez B., Tsimring L.S."
52,"Davis J.H., Baker T.A., Sauer R.T."
53,"Miro-Bueno J.M., Rodriguez-Paton A."
54,"Rodrigo G., Carrera J., Jaramillo A."
55,"Josic K., Lopez J.M., Ott W., Shiau L., Bennett M.R."
56,"Lang M., Marquez-Lago T.T., Stelling J., Waldherr S."
57,"Ray J.C.J., Tabor J.J., Igoshin O.A."
58,"Wang P., Lu J., Zhang Y., Ogorzalek M.J."
59,"Franco E., Friedrichs E., Kim J., Jungmann R., Murray R., Winfree E., Simmel F.C."
60,"Wu C.-H., Zhang W., Chen B.-S."
61,"Koeppl H., Hafner M., Ganguly A., Mehrotra A."
62,"Cambray G., Mutalik V.K., Arkin A.P."
63,"Wu C.-H., Lee H., Chen B.-S."
64,"Koseska A., Volkov E., Kurths J."
65,Gonze D.
66,"Hsia J., Holtz W.A., Huang D.C., Arcak M., Maharbiz M.M."
67,"Rosenberg A., Jayanthi S., Del Vecchio D."
68,Chen A.
69,"Dymond J.S., Richardson S.M., Coombes C.E., Babatz T., Muller H., Annaluru N., Blake W.J., Schwerzmann J.W., Dai J., Lindstrom D.L., Boeke A.C., Gottschling D.E., Chandrasegaran S., Bader J.S., Boeke J.D."
70,"Gronlund A., Lotstedt P., Elf J."
71,"Mondragon-Palomino O., Danino T., Selimkhanov J., Tsimring L., Hasty J."
72,"Nandagopal N., Elowitz M.B."
73,"Hooshangi S., Bentley W.E."
74,Garcia-Ojalvo J.
75,Smith R.P.
76,"Liu B., Yan S., Gao X."
77,"Beal J., Lu T., Weiss R."
78,"Shin Y.-J., Hencey B., Lipkin S.M., Shen X."
79,"Song H., Yuan Z., Zhang J., Zhou T."
80,"Lenz P., Sogaard-Andersen L."
81,"Song H., Payne S., Tan C., You L."
