ID,Authors
1,"Li T., Jiang Z.-X., Chen F.-X., Ren B.-Z."
2,"Huffer S., Roche C.M., Blanch H.W., Clark D.S."
3,"Pereira J.H., Goh E.-B., Keasling J.D., Beller H.R., Adams P.D."
4,"Xia P., Liu F., Wang C., Zuo S., Qi C."
5,"Zhao B., Li C., Xu C."
6,"Utrilla J., Licona-Cassani C., Marcellin E., Gosset G., Nielsen L.K., Martinez A."
7,"Wang B., Lin H., Zhan J., Yang Y., Zhou Q., Zhao Y."
8,"Ruffing A.M., Jones H.D."
9,"Machado H.B., Dekishima Y., Luo H., Lan E.I., Liao J.C."
10,"Joyce B.L., Stewart C.N."
11,"Jang Y.-S., Park J.M., Choi S., Choi Y.J., Seung D.Y., Cho J.H., Lee S.Y."
12,"Rowland O., Domergue F."
13,"Jung S.-K., Parisutham V., Jeong S.H., Lee S.K."
14,"Peralta-Yahya P.P., Zhang F., Del Cardayre S.B., Keasling J.D."
15,"Zhu Ryberg Y.Z., Edlund U., Albertsson A.-C."
16,"Santos I.L.V.D.L., Da Silva C.R.C., Dos Santos S.L., De Souza P.R.E., Maia M.D.M.D., De Morais Jr. M.A."
17,"Park J.M., Vinuselvi P., Lee S.K."
18,"de Jong B., Siewers V., Nielsen J."
19,"Noor E., Bar-Even A., Flamholz A., Lubling L., Davidi D., Milo R."
20,"Ma S., Tang N., Tian J."
21,"Xiong X., Wang X., Chen S."
22,"Sun J., Shao Z., Zhao H., Nair N., Wen F., Xu J.-H., Zhao H."
23,"Zurbriggen M.D., Moor A., Weber W."
24,"Park S.-Y., Jeon E., Lee S., Lee J., Lee T., Won J.-I."
25,"Ollis D.L., Liu J.-W., Stevenson B.J."
26,"Li M., Zhang X., Agrawal A., San K.-Y."
27,"Peng F., Peng P., Xu F., Sun R.-C."
28,N.S.
29,"Curran K.A., Alper H.S."
30,"Bilgin T., Wagner A."
31,"Cademartiri L., Bishop K.J.M., Snyder P.W., Ozin G.A."
32,"McKee A.E., Rutherford B.J., Chivian D.C., Baidoo E.K., Juminaga D., Kuo D., Benke P.I., Dietrich J.A., Ma S.M., Arkin A.P., Petzold C.J., Adams P.D., Keasling J.D., Chhabra S.R."
33,"Lee J.W., Na D., Park J.M., Lee J., Choi S., Lee S.Y."
34,"Felnagle E.A., Chaubey A., Noey E.L., Houk K.N., Liao J.C."
35,Blanch H.W.
36,"Wang X., Li L., Zheng Y., Zou H., Cao Y., Liu H., Liu W., Xian M."
37,"Youngquist J.T., Lennen R.M., Ranatunga D.R., Bothfeld W.H., Ii W.D.M., Pfleger B.F."
38,"Olson D.G., McBride J.E., Joe Shaw A., Lynd L.R."
39,"Park J.I., Steen E.J., Burd H., Evans S.S., Redding-Johnson A.M., Batth T., Benke P.I., D'haeseleer P., Sun N., Sale K.L., Keasling J.D., Lee T.S., Petzold C.J., Mukhopadhyay A., Singer S.W., Simmons B.A., Gladden J.M."
40,"Zheng Y.-N., Li L.-L., Liu Q., Yang J.-M., Wang X.-W., Liu W., Xu X., Liu H., Zhao G., Xian M."
41,"Lu J., Sun H.-L., He H., Fu P.-C."
42,"Bornscheuer U.T., Huisman G.W., Kazlauskas R.J., Lutz S., Moore J.C., Robins K."
43,"Boyle N.R., Page M.D., Liu B., Blaby I.K., Casero D., Kropat J., Cokus S.J., Hong-Hermesdorf A., Shaw J., Karpowicz S.J., Gallaher S.D., Johnson S., Benning C., Pellegrini M., Grossman A., Merchant S.S."
44,"Lee S., Jeon E., Jung Y., Lee J."
45,"Greving M., Cheng X., Reindl W., Bowen B., Deng K., Louie K., Nyman M., Cohen J., Singh A., Simmons B., Adams P., Siuzdak G., Northen T."
46,"Foo J.L., Ching C.B., Chang M.W., Leong S.S.J."
47,"Boyle P.M., Silver P.A."
48,"Carter K.K., Valdes J.J., Bentley W.E."
49,"Oldham P., Hall S., Burton G."
50,"Marcheschi R.J., Li H., Zhang K., Noey E.L., Kim S., Chaubey A., Houk K.N., Liao J.C."
51,"Xiong M., Deng J., Woodruff A.P., Zhu M., Zhou J., Park S.W., Li H., Fu Y., Zhang K."
52,"Dixon N., Robinson C.J., Geerlings T., Duncan J.N., Drummond S.P., Micklefield J."
53,"Liu H., Yu C., Feng D., Cheng T., Meng X., Liu W., Zou H., Xian M."
54,"Zhang F., Carothers J.M., Keasling J.D."
55,"Hoover S.W., Tyler Youngquist J., Angart P.A., Withers S.T., Lennen R.M., Pfleger B.F."
56,"Groff D., Benke P.I., Batth T.S., Bokinsky G., Petzold C.J., Adams P.D., Keasling J.D."
57,"Rhodius V.A., Mutalik V.K., Gross C.A."
58,"Zheng Z., Chen T., Zhao M., Wang Z., Zhao X."
59,"Radakovits R., Jinkerson R.E., Fuerstenberg S.I., Tae H., Settlage R.E., Boore J.L., Posewitz M.C."
60,"Medema M.H., Van Raaphorst R., Takano E., Breitling R."
61,"Tan X., Wang W., Lu X."
62,"Nystrom A.C.L., Bayer T.S."
63,"Yu X., Khosla C."
64,"Jaeger L., Calkins E.R."
65,"Vinuselvi P., Kim M.K., Lee S.K., Ghim C.-M."
66,"Zhang J., Hu B."
67,Teixeira R.E.
68,"Serrano-Ruiz J.C., Ramos-Fernandez E.V., Sepulveda-Escribano A."
69,"Wargacki A.J., Leonard E., Win M.N., Regitsky D.D., Santos C.N.S., Kim P.B., Cooper S.R., Raisner R.M., Herman A., Sivitz A.B., Lakshmanaswamy A., Kashiyama Y., Baker D., Yoshikuni Y."
70,"Zhang X., Agrawal A., San K.-Y."
71,"Yu K.O., Jung J., Kim S.W., Park C.H., Han S.O."
72,Konur O.
73,Konur O.
74,"Goh E.-B., Baidoo E.E.K., Keasling J.D., Beller H.R."
75,"Beopoulos A., Nicaud J.-M."
76,"Kim S.-R., Sim J.-S., Ajjappala H., Kim Y.-H., Hahn B.-S."
77,"Bokinsky G., Peralta-Yahya P.P., George A., Holmes B.M., Steen E.J., Dietrich J., Lee T.S., Tullman-Ercek D., Voigt C.A., Simmons B.A., Keasling J.D."
78,"Willis R.M., Wahlen B.D., Seefeldt L.C., Barney B.M."
79,"Akama S., Yamamura M., Kigawa T."
80,"Zhang F., Rodriguez S., Keasling J.D."
81,"Colin V.L., Rodriguez A., Cristbal H.A."
82,"Morin N., Cescut J., Beopoulos A., Lelandais G., Le Berre V., Uribelarrea J.-L., Molina-Jouve C., Nicaud J.-M."
83,"Yu X., Liu T., Zhu F., Khosla C."
